image_id	captions
10815824_2997e03d76.jpg	<start> A blonde horse and a blonde girl in a black sweatshirt are staring at a fire in a barrel . <end>
10815824_2997e03d76.jpg	<start> A girl and her horse stand by a fire . <end>
10815824_2997e03d76.jpg	<start> A girl holding a horse 's lead behind a fire . <end>
10815824_2997e03d76.jpg	<start> A man , and girl and two horses are near a contained fire . <end>
10815824_2997e03d76.jpg	<start> Two people and two horses watching a fire . <end>
12830823_87d2654e31.jpg	<start> Children sit and watch the fish moving in the pond <end>
12830823_87d2654e31.jpg	<start> people stare at the orange fish . <end>
12830823_87d2654e31.jpg	<start> Several people are standing near a fish pond . <end>
12830823_87d2654e31.jpg	<start> Some children watching fish in a pool . <end>
12830823_87d2654e31.jpg	<start> There are several people and children looking into water with a blue tiled floor and goldfish . <end>
17273391_55cfc7d3d4.jpg	<start> A fisherman fishes at the bank of a foggy river . <end>
17273391_55cfc7d3d4.jpg	<start> A man fishes by a tree in the morning mist . <end>
17273391_55cfc7d3d4.jpg	<start> A man fishes under a large tree . <end>
17273391_55cfc7d3d4.jpg	<start> A man fishing near a large tree . <end>
17273391_55cfc7d3d4.jpg	<start> A man is fishing in a foggy lake . <end>
55473406_1d2271c1f2.jpg	<start> A man at the top of a mountain with a beautiful view in the background <end>
55473406_1d2271c1f2.jpg	<start> A man is sitting on a snowbank . <end>
55473406_1d2271c1f2.jpg	<start> A man on a snowy peak . <end>
55473406_1d2271c1f2.jpg	<start> A person in red snow gear is kneeling on a snowy ridge under a blue sky . <end>
55473406_1d2271c1f2.jpg	<start> mountain climber in a red suit poses on snowy peak with mountains in the background <end>
44129946_9eeb385d77.jpg	<start> A couple watches a boat against a skyline . <end>
44129946_9eeb385d77.jpg	<start> A man and woman sit on a bench , watching a boat go by . <end>
44129946_9eeb385d77.jpg	<start> The sun is setting while a man and woman watch a boat go by . <end>
44129946_9eeb385d77.jpg	<start> Two people sit on a bench and watch a boat on the water . <end>
44129946_9eeb385d77.jpg	<start> Two people watching a boat sail past . <end>
57417274_d55d34e93e.jpg	<start> A few people sit together on the snowy mountaintop . <end>
57417274_d55d34e93e.jpg	<start> A group of climbers rest on a summit that overlooks another mountain range . <end>
57417274_d55d34e93e.jpg	<start> A group of mountain climbers rests at the summit . <end>
57417274_d55d34e93e.jpg	<start> A group of people sitting on top of rocks with snow covered mountains on both sides of them . <end>
57417274_d55d34e93e.jpg	<start> People are sitting on a snowy mountain . <end>
49553964_cee950f3ba.jpg	<start> A man holding onto ropes while boogie boarding . <end>
49553964_cee950f3ba.jpg	<start> A man holds onto ropes and is pulled through the water on his ski . <end>
49553964_cee950f3ba.jpg	<start> A man rides a wakeboard attached to a parachute . <end>
49553964_cee950f3ba.jpg	<start> A man windsurfing . <end>
49553964_cee950f3ba.jpg	<start> The man is waterskiing . <end>
50030244_02cd4de372.jpg	<start> a cat sits alone in dry grass . <end>
50030244_02cd4de372.jpg	<start> A group of cats sit in the grass . <end>
50030244_02cd4de372.jpg	<start> several cats resting in a field of dry grass <end>
50030244_02cd4de372.jpg	<start> The cats are lazily laying in the field of dry grass . <end>
50030244_02cd4de372.jpg	<start> The three cats , two white with calico accents and a gray tabby , are laying in the brown grass . <end>
